"Kanji","Meaning_JP","Meaning_EN","Meaning_ES","Meaning_FR","Meaning_DE","Meaning_IT","Meaning_TL","Meaning_PT","Meaning_TR","Meaning_AR","Meaning_SV","Meaning_NL","Meaning_PL","Meaning_NO","Meaning_HU","Meaning_HE","Meaning_RU","Meaning_LT"
"謝","感謝を忘れず、人との縁を深める心","A heart that never forgets gratitude and deepens bonds with others.","Un corazón que nunca olvida la gratitud y profundiza los lazos con los demás.","Un cœur qui n’oublie jamais la gratitude et approfondit les liens avec les autres.","Ein Herz, das Dankbarkeit nie vergisst und Beziehungen zu anderen vertieft.","Un cuore che non dimentica mai la gratitudine e approfondisce i legami con gli altri.","Pusong hindi nakakalimot magpasalamat at nagpapalalim ng ugnayan sa kapwa.","Um coração que nunca esquece a gratidão e aprofunda os laços com os outros.","Minnettarlığı asla unutmayan ve başkalarıyla bağları derinleştiren bir kalp.","قلب لا ينسى לעולם את الامتنان ويعمّق الروابط مع الآخرين.","Ett hjärta som aldrig glömmer tacksamhet och fördjupar banden till andra.","Een hart dat dankbaarheid nooit vergeet en de banden met anderen verdiept.","Serce, które nigdy nie zapomina o wdzięczności i pogłębia więzi z innymi.","Et hjerte som aldri glemmer takknemlighet og fordjuper båndene til andre.","Szív, amely sosem felejti el a hálát, és elmélyíti a másokkal való kötelékeket.","לב שאינו שוכח תודה לעולם ומעמיק את הקשרים עם אחרים.","Сердце, которое никогда не забывает благодарность и углубляет связи с другими.","Širdis, niekada nepamirštanti dėkingumo ir gilinanti ryšius su kitais."
"最","最善を尽くし、頂点を目指す力","The power to give one’s best and aim for the summit.","El poder de dar lo mejor de uno mismo y apuntar a la cima.","La force de donner le meilleur de soi et de viser le sommet.","Die Kraft, sein Bestes zu geben und nach dem Gipfel zu streben.","Il potere di dare il massimo e mirare alla vetta.","Ang kapangyarihang ibigay ang buong makakaya at tumungo sa tugatog.","O poder de dar o seu melhor e mirar o topo.","Elinden gelenin en iyisini vermek ve zirveye ulaşmayı hedefleyen güç.","القوة لبذل أقصى ما في الوسع واستهداف القمة.","Kraften att göra sitt yttersta och sikta mot toppen.","De kracht om je uiterste best te doen och naar de top te streven.","Siła, by dawać z siebie wszystko i sięgać po szczyt.","Kraften til å yte sitt beste og sikte mot toppen.","Az erő, hogy a legtöbbet adjuk magunkból és a csúcsot célozzuk meg.","הכוח לתת את המיטב ולשאוף אל הפסגה.","Сила делать всё возможное и стремиться к вершине.","Galia daryti viską, kas įmanoma, ir siekti viršūnės."
"我","自分を大切にし、主体性を持つ心","A heart that values itself and embraces autonomy.","Un corazón que se valora a sí mismo y abraza la autonomía.","Un cœur qui se valorise et embrasse son autonomie.","Ein Herz, das sich selbst wertschätzt und Eigenständigkeit annimmt.","Un cuore che dà valore a sé stesso e abbraccia l’autonomia.","Pusong marunong pahalagahan ang sarili at yakapin ang pagiging makapagpasya.","Um coração que se valoriza e abraça a própria autonomia.","Kendini değerli gören ve özerkliğini benimseyen bir kalp.","قلب يقدّر نفسه ويعتنق الاستقلالية.","Ett hjärta som värdesätter sig självt och omfamnar självständighet.","Een hart dat zichzelf waardeert en zijn eigen autonomie omarmt.","Serce, które ceni siebie i przyjmuje autonomię.","Et hjerte som verdsetter seg selv og omfavner autonomi.","Szív, amely értékeli önmagát, és elfogadja saját önállóságát.","לב המעריך את עצמו ומאמץ אוטונומיה.","Сердце, которое ценит себя и принимает свою самостоятельность.","Širdis, vertinanti save ir priimanti savo savarankiškumą."
"御","尊きものを敬い、礼を尽くす精神","A spirit that honors the sacred and shows respect.","Un espíritu que honra lo sagrado y muestra respeto.","Un esprit qui honore le sacré et fait preuve de respect.","Ein Geist, der das Heilige ehrt und Respekt zeigt.","Uno spirito che onora il sacro e mostra rispetto.","Isang diwa na iginagalang ang banal at nagpapakita ng paggalang.","Um espírito que honra o sagrado e demonstra respeito.","Kutsalı onurlandıran ve saygı gösteren bir ruh.","روح تكرّم المقدّس وتُظهر الاحترام.","En ånd som hedrar det heliga och visar respekt.","Een geest die het heilige eert en respect toont.","Duch, który czci to, co święte, i okazuje szacunek.","En ånd som ærer det hellige og viser respekt.","Lélek, amely tiszteli a szentet és tiszteletet tanúsít.","רוח המכבדת את הקדוש ומפגינה כבוד.","Дух, который почитает святое и проявляет уважение.","Dvasia, gerbianti šventumą ir rodanti pagarbą."
"希","一緒にいるだけで希望が湧いてきて、未来を照らす光","Simply being together brings hope and illuminates the future.","Simplemente al estar juntos surge la esperanza y se ilumina el futuro.","Le simple fait d’être ensemble fait naître l’espoir et éclaire l’avenir.","Allein das Zusammensein lässt Hoffnung entstehen und erhellt die Zukunft.","Il semplice stare insieme fa nascere la speranza e illumina il futuro.","Sa simpleng magkasama, sumisibol ang pag-asa at nagliliwanag ang kinabukasan.","O simples fato de estarem juntos faz nascer a esperança e ilumina o futuro.","Sadece birlikte olmak bile umudu doğurur ve geleceği aydınlatır.","مجرد كوننا معًا يولّد الأمل ويضيء المستقبل.","Bara genom att vara tillsammans väcks hoppet och framtiden lyses upp.","Alleen al door samen te zijn ontstaat er hoop en wordt de toekomst verlicht.","Samo bycie razem budzi nadzieję i rozświetla przyszłość.","Bare det å være sammen vekker håp og lyser opp framtiden.","Már a puszta együttlét is reményt szül és beragyogja a jövőt.","עצם ההיות יחד מעורר תקווה ומאיר את העתיד.","Свет желаний, приносящий надежду в будущее.","Norų šviesa, teikianti viltį ateičiai."
"武","日本の侍のように、勇気と力を持ち、正義を守る精神","A spirit like a Japanese samurai, with courage and strength to uphold justice.","Un espíritu como el de un samurái japonés, con valor y fuerza para defender la justicia.","Un esprit semblable à celui d’un samouraï japonais, avec le courage et la force de défendre la justice.","Ein Geist wie der eines japanischen Samurai, mit Mut und Stärke, um die Gerechtigkeit zu wahren.","Uno spirito simile a quello di un samurai giapponese, con coraggio e forza per difendere la giustizia.","Isang diwang tulad ng samurai ng Japan, may tapang at lakas upang ipagtanggol ang katarungan.","Um espírito como o de um samurai japonês, com coragem e força para defender a justiça.","Adaleti koruyacak cesaret ve güce sahip, Japon samurayına benzer bir ruh.","روح تشبه روح السامورאי الياباني، تملك الشجاعة والقوة لحماية العدالة.","En ande lik en japansk samuraj, med mod och kraft att upprätthålla rättvisan.","Een geest als die van een Japanse samoerai, met moed en kracht om de rechtvaardigheid te verdedigen.","Duch niczym japoński samuraj, z odwagą i siłą, by strzec sprawiedliwości.","En ånd lik en japansk samurai, med mot og styrke til å verne om rettferdighet.","Lélek, amely olyan, mint egy japán szamurájé, bátorsággal és erővel az igazság védelmére.","רוח הדומה לסמוראי יפני, בעלת אומץ וכוח להגן על הצדק.","Дух, подобный японскому самураю, с мужеством и силой отстаивать справедливость.","Dvasia, panaši į japonų samurajų, turinti drąsos ir jėgos ginti teisingumą."
"派","流れを生み、人々を導く影響力","The influence that creates flow and guides people.","La influencia que crea movimiento y guía a las personas.","L’influence qui crée un mouvement et guide les gens.","Der Einfluss, der Bewegung schafft und Menschen leitet.","L’influenza che crea un flusso e guida le persone.","Ang impluwensyang lumilikha ng daloy at gumagabay sa mga tao.","A influência que cria fluxo e orienta as pessoas.","Akış oluşturan ve insanlara yön veren etki.","التأثير الذي يخلق تدفّقًا ويهدي الناس.","Det inflytande som skapar ett flöde och leder människor.","De invloed die een stroom creëert en mensen leidt.","Wpływ, który tworzy przepływ i prowadzi ludzi.","Den innflytelsen som skaper flyt og leder mennesker.","Az a befolyás, amely áramlást teremt és irányítja az embereket.","ההשפעה היוצרת זרימה ומכוונת אנשים.","Влияние, которое создаёт движение и направляет людей.","Įtaka, kurianti judėjimą ir nukreipianti žmones."
"運","運命を受け入れ、幸運を自らの行動で導く力","The power to accept destiny and guide fortune through one’s actions.","El poder de aceptar el destino y encaminar la fortuna a través de las propias acciones.","La force d’accepter son destin et d’orienter la chance par ses propres actes.","Die Kraft, das Schicksal anzunehmen und das Glück durch eigenes Handeln zu lenken.","La forza di accettare il destino e guidare la fortuna attraverso le proprie azioni.","Ang kapangyarihang tanggapin ang kapalaran at hubugin ang suwerte sa pamamagitan ng sariling gawa.","A força de aceitar o destino e conduzir a sorte por meio das próprias ações.","Kaderi kabul edip kendi eylemleriyle şansını yönlendirme gücü.","القوة لقبول القدر وتوجيه الحظ من خلال الأفعال الشخصية.","Kraften att acceptera sitt öde och styra lyckan genom egna handlingar.","De kracht om het lot te aanvaarden en het geluk te sturen door eigen daden.","Siła, by przyjąć przeznaczenie i kierować szczęściem poprzez własne działania.","Kraften til å akseptere skjebnen og styre lykken gjennom egne handlinger.","Az erő, hogy elfogadjuk a sorsot, és tetteinken keresztül irányítsuk a szerencsét.","הכוח לקבל את הגורל ולהכווין את המזל באמצעות המעשים שלך.","Судьба и удача, приносящие новые возможности.","Likimas ir sėkmė, teikiantys naujų galimybių."
"影","光があるからこそ存在し、静かに深みを添える存在","A presence that exists because of light, quietly adding depth.","Una presencia que existe gracias a la luz, aportando profundidad en silencio.","Une présence qui existe grâce à la lumière, ajoutant discrètement de la profondeur.","Eine Präsenz, die durch das Licht existiert und leise Tiefe verleiht.","Una presenza che esiste grazie alla luce, aggiungendo silenziosamente profondità.","Isang presensya na umiiral dahil sa liwanag, tahimik na nagdaragdag ng lalim.","Uma presença que existe por causa da luz, adicionando profundidade silenciosamente.","Işık sayesinde var olan, sessizce derinlik katan bir varlık.","وجود حي بفضل الضوء، يضيف عمقاً في صمت.","En närvaro som existerar tack vare ljuset och tyst tillför djup.","Een aanwezigheid die bestaat dankzij het licht en stilletjes diepgang toevoegt.","Obecność, która istnieje dzięki światłu, po cichu dodając głębi.","Et nærvær som eksisterer på grunn av lyset, og som stille tilfører dybde.","A fény miatt létező jelenlét, amely csendben mélységet ad.","נוכחות הקיימת בזכות האור, מוסיפה עומק בשקט.","Присутствие, существующее благодаря свету, тихо добавляющее глубины.","Buvimas, kuris egzistuoja dėl šviesos, tyliai suteikiantis gylio."
"焔","情熱が静かに燃え上がり、心を温め、道を照らす力","A power where passion quietly burns, warming the heart and lighting the way.","Un poder donde la pasión arde en silencio, calentando el corazón e iluminando el camino.","Une puissance où la passion brûle silencieusement, réchauffant le cœur et éclairant le chemin.","Eine Kraft, in der Leidenschaft leise brennt, das Herz erwärmt und den Weg weist.","Un potere in cui la passione brucia silenziosamente, scaldando il cuore e illuminando la via.","Isang kapangyarihan kung saan ang hilig ay tahimik na nag-aalab, nagpapainit sa puso at nagbibigay-liwanag sa daan.","Um poder onde a paixão queima silenciosamente, aquecendo o coração e iluminando o caminho.","Tutkunun sessizce yandığı, kalbi ısıtan ve yolu aydınlatan bir güç.","قوة يشتعل فيها الشغف بصمت، ليدفئ القلب وينير الدرب.","En kraft där passion brinner tyst, värmer hjärtat och lyser upp vägen.","Een kracht waarin passie stilletjes brandt, het hart verwarmt en de weg verlicht.","Moc, w której pasja pali się po cichu, rozgrzewając serce i oświetlając drogę.","En kraft der lidenskap brenner stille, varmer hjertet og lyser opp veien.","Erő, amelyben a szenvedély csendben ég, melengeti a szívet és megvilágítja az utat.","כוח שבו התשוקה בוערת בשקט, מחממת את הלב ומאירה את הדרך.","Сила, в которой тихо горит страсть, согревая сердце и освещая путь.","Galia, kurioje aistra tyliai dega, šildanti širdį ir apšviečianti kelią."
"剣","自らの信念を研ぎ澄ませ、切り開く意志の象徴","A symbol of the will to sharpen one's beliefs and carve a path.","Un símbolo de la voluntad de agudizar las propias creencias y forjar un camino.","Un symbole de la volonté d'aiguiser ses convictions et de tracer sa voie.","Ein Symbol des Willens, die eigenen Überzeugungen zu schärfen und einen Weg zu bahnen.","Un simbolo della volontà di affilare le proprie convinzioni e tracciare un sentiero.","Isang simbolo ng kagustuhang patalasin ang sariling paniniwala at bumuo ng landas.","Um símbolo da vontade de aprimorar as próprias crenças e trilhar um caminho.","İnançları keskinleştirme ve bir yol açma iradesinin sembolü.","رمز للإرادة لصقل المعتقدات وشق الطريق.","En symbol för viljan att slipa sina övertygelser och bana väg.","Een symbool van de wil om je overtuigingen aan te scherpen en een weg te banen.","Symbol woli szlifowania własnych przekonań i wyrąbywania drogi.","Et symbol på viljen til å slipe sin overbevisning og bane vei.","A hit megélezésére és az út kivágására irányuló akarat szimbóluma.","סמל לרצון לחדד את האמונות ולסלול דרך.","Символ воли оттачивать свои убеждения и прокладывать путь.","Tikėjimo aštrinimo ir kelio tiesimo valios simbolis."
"雷","一瞬の閃光が闇を切り裂き、新たな時代を告げる目覚めの力","An awakening power where a single flash tears through the darkness, announcing a new era.","Un poder de despertar donde un solo destello rasga la oscuridad, anunciando una nueva era.","Une force d'éveil où un simple éclair déchire l'obscurité, annonçant une ère nouvelle.","Eine erwachende Kraft, in der ein einziger Blitz die Dunkelheit durchbricht und eine neue Ära ankündigt.","Un potere di risveglio in cui un singolo lampo squarcia l'oscurità, annunciando una nuova era.","Isang kapangyarihan ng paggising kung saan ang isang kislap ay lumalaslas sa dilim, nagpapahayag ng bagong panahon.","Um poder de despertar onde um único clarão rasga a escuridão, anunciando uma nova era.","Tek bir parlamanın karanlığı yırtıp geçtiği ve yeni bir çağı müjdelediği bir uyanış gücü.","قوة يقظة حيث يخترق وميض واحد الظلام، معلناً عن عصر جديد.","En väckarkraft där en enda blixt sliter genom mörkret och förkunnar en ny era.","Een ontwakende kracht waarin een enkele flits de duisternis doorklieft en een nieuw tijdperk aankondigt.","Budząca moc, w której pojedynczy błysk rozdziera ciemność, zapowiadając nową erę.","En oppvåkningskraft der ett enkelt glimt river gjennom mørket og kunngjør en ny æra.","Ébresztő erő, ahol egyetlen villanás hasít át a sötétségen, új korszakot hirdetve.","כוח התעוררות שבו הבזק בודד קורע את החשכה, ומכריז על עידן חדש.","Пробуждающая сила, в которой одна вспышка разрывает тьму, возвещая о новой эре.","Pabudimo galia, kai vienas blyksnis perplėšia tamsą, paskelbdamas naują erą."
"翼","自由を愛し、理想の空へと高く羽ばたく精神","A spirit that loves freedom and soars high into the sky of ideals.","Un espíritu que ama la libertad y se eleva hacia el cielo de los ideales.","Un esprit qui aime la liberté et s'envole haut dans le ciel des idéaux.","Ein Geist, der die Freiheit liebt und hoch in den Himmel der Ideale aufsteigt.","Uno spirito che ama la libertà e vola alto nel cielo degli ideali.","Isang diwa na nagmamahal sa kalayaan at pumapaimbulog sa himpapawid ng mga mithiin.","Um espírito que ama a liberdade e voa alto no céu dos ideais.","Özgürlüğü seven ve ideallerin gökyüzünde yükseklere süzülen bir ruh.","روح تحب الحرية وتحلق عالياً في سماء المثاليات.","En ande som älskar frihet och svävar högt upp i idealens himmel.","Een geest die van vrijheid houdt en hoog in de hemel van idealen zweeft.","Duch kochający wolność i wznoszący się wysoko w niebo ideałów.","En ånd som elsker frihet og svever høyt inn i idealenes himmel.","A szabadságot szerető lélek, amely magasra száll az eszmények egébe.","רוח האוהבת חופש וממריאה גבוה אל שמי האידיאלים.","Дух, любящий свободу и парящий высоко в небе идеалов.","Siela, kuri myli laisvę ir kyla aukštai į idealų dangų."
"鋼","何度打たれても折れない、強靭な心と意志の象徴","A symbol of a resilient heart and will that never breaks, no matter how many times it is struck.","Un símbolo de un corazón y una voluntad resilientes que nunca se quiebran, por muchas veces que sean golpeados.","Le symbole d'un cœur et d'une volonté résilients qui ne se brisent jamais, quel que soit le nombre de coups reçus.","Ein Symbol für ein widerstandsfähiges Herz und einen Willen, der niemals bricht, egal wie oft man darauf einschlägt.","Simbolo di un cuore e di una volontà resilienti che non si spezzano mai, non importa quante volte siano colpiti.","Simbolo ng matatag na puso at kagustuhang hindi kailanman mababali, gaano man karaming beses ito tamaan.","Um símbolo de um coração e vontade resilientes que nunca se quebram, não importa quantas vezes sejam atingidos.","Kaç kez darbe alırsa alsın asla kırılmayan dayanıklı bir kalp ve iradenin sembolü.","رمز لقلب وإرادة مرنة لا تكسر أبداً، مهما بلغت الضربات.","En symbol för ett motståndskraftigt hjärta och en vilja som aldrig går sönder, oavsett hur många gånger den träffas.","Een symbool van een veerkrachtig hart en een wil die nooit breekt, hoe vaak deze ook wordt getroffen.","Symbol odpornego serca i woli, która nigdy się nie łamie, bez względu na to, ile razy zostanie uderzona.","Et symbol på et motstandsdyktig hjerte og en vilje som aldri brister, uansett hvor mange ganger den blir truffet.","A rugalmas szív és akarat szimbóluma, amely soha nem törik meg, akármennyi ütést is kap.","סמל ללב ולרצון עמידים שלעולם אינם נשברים, לא משנה כמה פעמים יוכו.","Символ стойкого сердца и воли, которые никогда не сломятся, сколько бы ударов по ним ни наносили.","Atsparios širdies ir valios simbolis, kuris niekada nesulūžta, kad ir kiek kartų būtų daužomas."
"忍","影にありて機を待ち、静かに、しかし確実に目的を成し遂げる心","A heart that stays in shadows waiting for the chance, accomplishing goals quietly but surely.","Un corazón que permanece en las sombras esperando la oportunidad, logrando metas de forma silenciosa pero segura.","Un cœur qui reste dans l'ombre en attendant sa chance, atteignant ses objectifs discrètement mais sûrement.","Ein Herz, das im Schatten auf seine Chance wartet und seine Ziele leise, aber sicher erreicht.","Un cuore che resta nell'ombra in attesa dell'opportunità, raggiungendo i propri obiettivi silenziosamente ma con fermezza.","Isang pusong nananatili sa mga anino naghihintay ng pagkakataon, tahimik ngunit tiyak na nakakamit ang mga layunin.","Um coração que permanece nas sombras esperando a chance, realizando objetivos silenciosa mas firmemente.","Gölgede kalarak fırsat bekleyen, hedeflere sessiz ama emin adımlarla ulaşan bir kalp.","قلب يظل في الظلال في انتظار الفرصة، محققاً أهدافه بصمت وبكل تأكيد.","Ett hjärta som stannar i skuggorna och väntar på chansen, och uppnår mål tyst men säkert.","Een hart dat in de schaduwen blijft wachten op de kans, en doelen stilletjes maar zeker bereikt.","Serce, które pozostaje w cieniu, czekając na szansę, cicho, lecz pewnie osiągając cele.","Et hjerte som blir værende i skyggene for å vente på sjansen, og når sine mål stille, men sikkert.","A szív, amely az árnyékban várja a lehetőséget, csendben, de biztosan érve el céljait.","לב השוכן בצללים ומחכה להזדמנות, מגשים מטרות בשקט אך בביטחון.","Сердце, которое остается в тени, ожидая шанса, бесшумно, но верно достигая целей.","Širdis, kuri lieka šešėlyje laukdama progos, tyliai, bet užtikrintai pasiekianti tikslus."
"暁","長い夜が明け、希望の光が世界を包み込む瞬間の象徴","A symbol of the moment when the long night ends and hope envelops the world.","Un símbolo del momento en que la larga noche termina y la esperanza envuelve al mundo.","Le symbole du moment où la longue nuit prend fin et où l'espoir enveloppe le monde.","Ein Symbol für den Moment, in dem die lange Nacht endet und die Hoffnung die Welt einhüllt.","Un simbolo del momento in cui la lunga notte finisce e la speranza avvolge il mondo.","Simbolo ng sandali kung kailan natatapos ang mahabang gabi at ang pag-asa ay bumabalot sa mundo.","Um símbolo do momento em que a longa noite termina e a esperança envolve o mundo.","Uzun gecenin bittiği ve umudun dünyayı sarmaladığı anın sembolü.","رمز للحظة التي ينتهي فيها الليل الطويل وتغلف فيها الأمل العالم.","En symbol för ögonblicket då den långa natten tar slut och hoppet omsluter världen.","Een symbool van het moment waarop de lange nacht eindigt en hoop de wereld omhult.","Symbol momentu, w którym kończy się długa noc, a nadzieja ogarnia świat.","Et symbol på øyeblikket når den lange natten tar slutt og håpet omslutter verden.","Annak a pillanatnak a szimbóluma, amikor véget ér a hosszú éjszaka, és remény öleli körül a világot.","סמל לרגע שבו הלילה הארוך מסתיים והתקווה עוטפת את העולם.","Символ момента, когда заканчивается долгая ночь и надежда окутывает мир.","Simbolis to momento, kai baigiasi ilga naktis ir viltis apgaubia pasaulį."
"絆","時を越えて心と心をつなぎ、決して解けない強い結びつき","A strong tie that connects hearts across time, never to be unraveled.","Un vínculo fuerte que conecta los corazones a través del tiempo, para no deshacerse nunca.","Un lien puissant qui unit les cœurs par-delà le temps, à ne jamais dénouer.","Ein starkes Band, das die Herzen über die Zeit hinweg verbindet und niemals gelöst werden kann.","Un forte legame che connette i cuori nel tempo, destinato a non essere mai sciolto.","Isang malakas na ugnayang nagbubuklod sa mga puso sa paglipas ng panahon, na hindi kailanman makkakalag.","Um laço forte que une os corações através do tempo, para nunca ser desfeito.","Kalpleri zamanın ötesinde birbirine bağlayan, asla çözülmeyecek güçlü bir bağ.","رابط قوي يربط القلوب عبر الزمن، لا ينفك أبداً.","Ett starkt band som knyter hjärtan samman över tid och aldrig kan lösas upp.","Een sterke band die harten door de tijd heen verbindt en nooit ontrafelt.","Silna więź, która łączy serca na przestrzeni czasu, nigdy nie do zerwania.","Et sterkt bånd som knytter hjerter sammen gjennom tiden, og som aldri kan løses opp.","Erős kötelék, amely szívtől szívig kapcsolódik az időn át, és soha nem bomlik ki.","קשר חזק המחבר לבבות לאורך זמן, שלעולם אינו נפרם.","Крепкая связь, объединяющая сердца сквозь время, которую невозможно разрушить.","Stiprus ryšys, jungiantis širdis per laiką, niekada neišardomas."
"魂","命の根源に宿る不滅の輝き、自らの証を刻む力","An immortal radiance dwelling at the root of life, the power to carve one's legacy.","Un resplandor inmortal que reside en la raíz de la vida, el poder de forjar el propio legado.","Un éclat immortel niché à la source de la vie, la force de graver son propre héritage.","Ein unsterblicher Glanz, der an der Wurzel des Lebens wohnt, die Kraft, das eigene Erbe zu gestalten.","Un bagliore immortale radicato nell'essenza della vita, il potere di scolpire la propria eredità.","Isang walang hanggang liwanag na nananahan sa ugat ng buhay, ang kapangyarihang mag-iwan ng sariling pamana.","Um brilho imortal residindo na raiz da vida, o poder de esculpir o próprio legado.","Hayatın kökünde yaşayan ölümsüz bir parıltı, kişinin kendi mirasını kazıma gücü.","بريق خالد يسكن في أصل الحياة، قوة لنحت إرث المرء.","En odödlig glans som vilar vid livets rot, kraften att rista in sitt arv.","Een onsterfelijke glans die rust aan de wortel van het leven, de kracht om je eigen nalatenschap vorm te geven.","Nieśmiertelny blask zamieszkujący korzenie życia, moc kształtowania własnego dziedzictwa.","En udødelig glans som dveler ved livets rot, kraften til å prege sin egen arv.","Halhatatlan ragyogás az élet gyökerében, az erő, amellyel valaki megalkotja saját örökségét.","זוהר בן אלמוות השוכן בשורש החיים, הכוח לחרוט את מורשתך.","Бессмертное сияние, обитающее в корнях жизни, сила запечатлеть свое наследие.","Nemirtingas švytėjimas, tūnantis gyvenimo šaknyse, galia iškalti savo palikimą."
"虎","孤高に立ち、勇猛果敢に自らの道を突き進む力","The power to stand solitary and push forward on one's own path with brave determination.","El poder de mantenerse en soledad y avanzar por el propio camino con valiente determinación.","La force de se tenir seul et d'aller de l'avant sur sa propre voie avec une détermination courageuse.","Die Kraft, einsam zu stehen und mit tapferer Entschlossenheit auf dem eigenen Weg voranzuschreiten.","Il potere di stare da soli e procedere sul proprio cammino con coraggiosa determinazione.","Ang kapangyarihang tumayo nang nag-iisa at sumulong sa sariling landas nang may matapang na determinasyon.","O poder de permanecer solitário e avançar no próprio caminho com determinação corajosa.","Yalnız başına durma ve cesur bir kararlılıkla kendi yolunda ilerleme gücü.","قوة الوقوف منفرداً والمضي قدماً في طريق المرء بعزيمة شجاعة.","Kraften att stå ensam och gå vidare på sin egen väg med orädd beslutsamhet.","De kracht om eenzaam te staan en met moedige vastberadenheid je eigen weg te vervolgen.","Moc samodzielnego trwania i kroczenia własną drogą z odważną determinacją.","Kraften til å stå ensom og gå videre på sin egen vei med modig besluttsomhet.","Az erő, amellyel valaki magányosan megállva, bátor elszántsággal tör előre saját útján.","הכוח לעמוד בודד ולפרוץ קדימה בדרכך עם נחישות אמיצה.","Сила стоять в одиночестве и продвигаться по собственному пути с отважной решимостью.","Galia stovėti vienam ir drąsiai užsispyrus judėti į priekį savo keliu."
"幻","儚くも美しい夢を見せ、人々の想像力を掻き立てる存在","A presence that shows fleeting yet beautiful dreams, stirring imagination.","Una presencia que muestra sueños fugaces pero hermosos, despertando la imaginación.","Une présence qui montre des rêves éphémères mais beaux, stimulant l'imagination.","Eine Präsenz, die flüchtige, aber schöne Träume zeigt und die Fantasie anregt.","Una presenza che mostra sogni fugaci ma bellissimi, stimolando l'immaginazione.","Isang presensya na nagpapakita ng panandalian ngunit magagandang panaginip, na pumupukaw sa imahinasyon.","Uma presença que mostra sonhos fugazes mas belos, estimulando a imaginação.","Geçici ama güzel rüyalar gösteren, hayal gücünü harekete geçiren bir varlık.","وجود يُظهر أحلاماً عابرة ولكنها جميلة، مما يثير الخيال.","En närvaro som visar flyktiga men vackra drömmar och väcker fantasin.","Een aanwezigheid die vluchtige maar mooie dromen toont en de verbeelding prikkelt.","Obecność, która ukazuje ulotne, lecz piękne sny, pobudzając wyobraźnię.","Et nærvær som viser flyktige, men vakre drømmer, og som vekker fantasien.","Jelenlét, amely mulandó, de szép álmokat mutat meg, felkeltve a képzeletet.","נוכחות המציגה חלומות חולפים אך יפים, ומעוררת את הדמיון.","Присутствие, которое показывает мимолетные, но прекрасные сны, будоража воображение.","Buvimas, kuris parodo trumpalaikius, bet gražius sapnus, žadinantis vaizduotę."
"冥","静かな闇の中に深淵な知恵を湛え、真理を見通す精神","A spirit brimming with deep wisdom within quiet darkness, seeing through to the truth.","Un espíritu rebosante de profunda sabiduría en medio de una oscuridad silenciosa, que ve la verdad.","Un esprit débordant d'une profonde sagesse au cœur d'une obscurité silencieuse, voyant à travers la vérité.","Ein Geist voller tiefer Weisheit in stiller Dunkelheit, der die Wahrheit erkennt.","Uno spirito carico di profonda saggezza nel buio silenzioso, capace di vedere la verità.","Isang diwang puno ng malalim na karunungan sa loob ng tahimik na kadiliman, nakakakita sa katotohanan.","Um espírito transbordando de sabedoria profunda na escuridão silenciosa, vendo através da verdade.","Sessiz karanlığın içinde derin bilgelikle dolu olan, gerçeği görebilen bir ruh.","روح تفيض بالحكمة العميقة وسط ظلام هادئ، ترى بوضوح إلى الحقيقة.","En ande som sjuder av djup visdom i det tysta mörkret och ser igenom till sanningen.","Een geest boordevol diepe wijsheid in stille duisternis, die doorziet tot de waarheid.","Duch przepełniony głęboką mądrością w cichej ciemności, dostrzegający prawdę.","En ånd som fylles av dyp visdom i det stille mørket, og ser igjennom til sannheten.","Mély bölcsességgel teli lélek a csendes sötétségben, amely átlát az igazságig.","רוח מלאה בחוכמה עמוקה בתוך חשכה שקטה, הרואה מבעד אל האמת.","Дух, преисполненный глубокой мудрости в тихой темноте, прозревающий истину.","Siela, kupina gilios išminties tylioje tamsoje, regianti tiesą."
"極","ひとつの道を究め、至高の領域へと到達する力","The power to master a single path and reach the realm of the supreme.","El poder de dominar un solo camino y alcanzar el reino de lo supremo.","La force de maîtriser une seule voie et d'atteindre le domaine du suprême.","Die Kraft, einen einzigen Weg zu meistern und das Reich des Höchsten zu erreichen.","Il potere di padroneggiare un unico cammino e raggiungere il regno del supremo.","Ang kapangyarihang magpakadalubhasa sa isang landas at marating ang rurok ng kataas-taasang antas.","O poder de dominar um único caminho e alcançar o reino do supremo.","Tek bir yolda ustalaşma ve yüce aleme ulaşma gücü.","قوة إتقان طريق واحد والوصول إلى عالم السمو.","Kraften att bemästra en enda väg och nå de högsta domänerna.","De kracht om een enkel pad te beheersen en het rijk van het opperste te bereiken.","Moc opanowania jednej drogi i dotarcia do sfery doskonałości.","Kraften til å mestre en enkelt vei og nå det høyeste nivået.","Az erő, amellyel valaki egyetlen utat mesterfokon űzve eléri a legmagasabb szintet.","הכוח לשלוט בדרך אחת ולהגיע לממלכת הנעלה.","Сила освоить один единственный путь и достичь высшего уровня развития.","Galia įvaldyti vieną kelią ir pasiekti aukščiausią sritį."
